2024-06-09 13:00:00, Jerusalem, Gan Shalom, CHAREDI, 67, 2024-06-09 17:00:00, 1
2024-06-09 14:00:00, Tel Aviv, Bright Beginnings, DATI, 119, 2024-06-09 16:00:00, 3
2024-06-09 14:00:00, Haifa, Wonder World, CHILONI, 120, 2024-06-09 16:00:00, 5
2024-06-09 14:00:00, Jerusalem, Playful Preschool, CHAREDI, 121, 2024-06-09 16:00:00, 1
2024-06-09 14:00:00, Tel Aviv, Growing Together, DATI, 122, 2024-06-09 16:00:00, 2
2024-06-09 14:00:00, Haifa, Kinder Kids, CHILONI, 123, 2024-06-09 16:00:00, 3
2024-06-09 14:00:00, Jerusalem, Fun Frolics, CHAREDI, 124, 2024-06-09 16:00:00, 4
2024-06-09 14:00:00, Tel Aviv, Learning Ladder, DATI, 125, 2024-06-09 16:00:00, 5
2024-06-09 14:00:00, Haifa, Little Einsteins, CHILONI, 126, 2024-06-09 16:00:00, 6
2024-06-09 14:00:00, Jerusalem, Kidz Klub, CHAREDI, 127, 2024-06-09 16:00:00, 1
2024-06-09 14:00:00, Tel Aviv, Happy Home, DATI, 128, 2024-06-09 16:00:00, 2
2024-06-09 14:00:00, Haifa, Teddy Bear Daycare, CHILONI, 129, 2024-06-09 16:00:00, 3
2024-06-09 14:00:00, Jerusalem, Wonderland, CHAREDI, 130, 2024-06-09 16:00:00, 4
2024-06-09 13:30:00, Tel Aviv, Magic Moments, DATI, 131, 2024-06-09 15:30:00, 43
2024-06-09 14:00:00, Haifa, Little Lambs, CHILONI, 132, 2024-06-09 16:00:00, 44
2024-06-09 13:45:00, Jerusalem, Sunshine Smiles, CHAREDI, 133, 2024-06-09 15:45:00, 1
2024-06-09 14:15:00, Tel Aviv, Little Angels, DATI, 134, 2024-06-09 16:15:00, 2
2024-06-09 13:20:00, Haifa, Playtime Palace, CHILONI, 135, 2024-06-09 15:20:00, 3
2024-06-09 13:10:00, Jerusalem, Daycare1, CHAREDI, 136, 2024-06-09 15:10:00, 1
2024-06-09 13:55:00, Tel Aviv, Sunshine Kids, DATI, 137, 2024-06-09 15:55:00, 12
2024-06-09 14:30:00, Haifa, Little Stars, CHILONI, 138, 2024-06-09 16:30:00, 6
2024-06-09 13:40:00, Jerusalem, Caring Kids, CHAREDI, 139, 2024-06-09 15:40:00, 4
2024-06-09 13:25:00, Tel Aviv, Bright Beginnings, DATI, 140, 2024-06-09 15:25:00, 3
2024-06-09 13:50:00, Haifa, Wonder World, CHILONI, 141, 2024-06-09 15:50:00, 5
2024-06-09 14:10:00, Jerusalem, Playful Preschool, CHAREDI, 142, 2024-06-09 16:10:00, 1
2024-06-09 13:35:00, Tel Aviv, Growing Together, DATI, 143, 2024-06-09 15:35:00, 2
2024-06-09 14:20:00, Haifa, Kinder Kids, CHILONI, 144, 2024-06-09 16:20:00, 3
2024-06-09 13:15:00, Jerusalem, Fun Frolics, CHAREDI, 145, 2024-06-09 15:15:00, 4
2024-06-09 13:05:00, Tel Aviv, Learning Ladder, DATI, 146, 2024-06-09 15:05:00, 5
2024-06-09 13:45:00, Haifa, Little Einsteins, CHILONI, 147, 2024-06-09 15:45:00, 6
2024-06-09 14:25:00, Jerusalem, Kidz Klub, CHAREDI, 148, 2024-06-09 16:25:00, 1
2024-06-09 13:55:00, Tel Aviv, Happy Home, DATI, 149, 2024-06-09 15:55:00, 2
2024-06-09 13:30:00, Haifa, Teddy Bear Daycare, CHILONI, 150, 2024-06-09 15:30:00, 3
2024-06-09 14:15:00, Jerusalem, Wonderland, CHAREDI, 151, 2024-06-09 16:15:00, 4
